Title,Contents,Date
Chat,Margot was nice but it impossible to get to the Chet ! Please try to make it easier for us!,"Dec 13, 2019"
Good service,Good service,"Dec 13, 2019"
Quick and amazing customer service from…,Quick and amazing customer service from Poppie!!,"Dec 13, 2019"
More than help my order did not come in…,"More than help my order did not come in for my upcoming trip. As this was my first experience with ASOS, it was extremely frustrating but Gwenne helped me promptly and effectively. 5 stars for customer service but 3 for the lack of attention to orders.","Dec 13, 2019"
It took about 15-20 minutes for a…,"It took about 15-20 minutes for a single reply, and an hour for a simple problem. Not happy with the chat because it took way long like emails. But in the end i got what i needed done i guess. I love the clothes here but the service was poor.","Dec 13, 2019"
CLARASSA has quick response and very…,CLARASSA has quick response and very helpful,"Dec 13, 2019"
Painless replacement of lost items,"I placed an (expensive) order, and FedEx never delivered it! I was expecting to have to fight tooth and nail for a refund or replacement, but Dani was so kind and helpful in getting the order replaced for me. I’m still waiting for the replacement order to be delivered, but the process of getting my issue resolved was so painless, I had to write a review.","Updated Dec 13, 2019"
Very helpful and sorted out the problem quickly,Very helpful and sorted out quickly,"Dec 13, 2019"
What's going on with Delivery times !!!!!,What's going on with Delivery times.  Ordered 4 items 5th December which I have only received 1 confirmation email and delivery days is 17th December!!!! 12 days Not good enough ASOSI won't be ordering from you again because of this.,"Dec 13, 2019"
Selina was helpful :),Selina was helpful :),"Dec 13, 2019"
I unfortunately recieved a wrong item…,I unfortunately recieved a wrong item after waiting long time for delivery!! This is the first time i deal with ASOS & it’s not acceptable at all!! I was waiting the jacket for a special occasion &ultimately i was so disappointed!,"Dec 13, 2019"
Boyin is great and friendly,Boyin is great and friendly. Able to help my issues.,"Dec 13, 2019"
Amazing choices and styles,"Amazing choices and styles. May be expensive but are worth the price. Sizing can be confusing sometimes but free returns makes up for it. Wish you could review on the website to get an idea of the products and sizing, otherwise, the website is easy to use and informative.","Dec 13, 2019"
Marta was really prompt and helpful,Marta was really prompt and helpful. thumbs up!,"Dec 13, 2019"
Will NEVER order again,"Ordered over 2 weeks before we needed the dress delivered. It was supposed to be to us by Dec 4th. We needed it by Dec 14. When it didn’t come on the 4th we messaged to find out what they could do and they told us we had to wait until after 10 pm on the 10th. There hadn’t been updated shipping info since November 30. It was clear the package was missing but they didn’t seem to care. Instead they just said sorry we don’t actually care that you didn’t get it and we can’t get it to you by the 14th. If they had done something about it the first time we messaged them, they could have fixed the problem but it seems that ASOS doesn’t care about customers. After all that I’ve had to email and message 4 times to get them to process a refund.","Dec 13, 2019"
Thanks for spending your precious time…,Thanks for spending your precious time with patient to read my texts and emails!,"Dec 13, 2019"
Wish I could leave 0 stars,Wish I could leave 0 stars. Awful service. Placed an order and had an email to confirm they were very busy but to be assured my order was being dealt with. Never received order confirmation and after a few days I checked on my account and it had an estimated delivery date. After a couple of weeks I had a despatch email but never received the item. A few days later I had an email confirming I had returned the items. I was charged and Asos had my money the entire time with no intention to deliver the items. The items have gone back up in price since. I will not shop there again and would not recommend this company to anyone. They do not reply to you. They just dont care. Avoid at all costs,"Dec 13, 2019"
Customer service is excellent,"Customer service is excellent, love it","Dec 13, 2019"
Marta was the best,Marta was the best,"Dec 13, 2019"
Thank you Abbas for your quick and…,Thank you Abbas for your quick and efficient help and for being so nice!,"Dec 13, 2019"
Amazing customer service!,"Honestly I cannot fault the customer service, it’s phenomenal. Auspost lost my parcel during a redirection, as this has Christmas presents in I was at a loss at what to do! I contacted ASOS via Facebook messenger and they got back to me super quick. Told me to contact by end of day to see if the parcel had arrived, it hadn’t. Was asked if I wanted a refund or reorder, chose the reorder. Items reordered, some out of stock so automatically refunded the money straight away. Not only did they replace the items available but they were sent courier express and I’ve received them!!! This all was sorted within 4 business days!!! That’s the UK to Australia! So so happy with the service I received.","Dec 13, 2019"
Great experience even though I had an…,Great experience even though I had an order issue. Agent was pleasant and helpful. She took care of my needs. Thank you Sapphire 😁,"Dec 13, 2019"
This was one of the best customer…,This was one of the best customer service experiences I've had in a long time. Took care of me when I never received my order!,"Dec 13, 2019"
good customer service,good customer service,"Dec 13, 2019"
Brilliant costumer service didn't get…,Brilliant costumer service didn't get one of my items I had ordered talked to someone on live chat and it was sent out as a replacement straight away,"Dec 13, 2019"
Was quick to resolve my issue,Was quick to resolve my issue - thank you!,"Dec 13, 2019"
Aasha was very polite,"Aasha was very polite, helpful and responded quickly to all my questions. Great service. Thank you.","Dec 13, 2019"
upset about the poor quality never…,upset about the poor quality never again will i order even my vans shirt is bad quality,"Dec 13, 2019"
